Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCY30,OUT019,928.4748535
FDP58,OUT017,3568.88208
FDV49,OUT017,4353.235718
FDY24,OUT019,1014.726624
NCO55,OUT017,1841.301331
FDR13,OUT017,2093.536499
FDS51,OUT017,1172.251404
FDP26,OUT045,1610.204773
NCB54,OUT027,3512.203064
FDF32,OUT017,3296.940369
FDN31,OUT018,2754.008972
DRM48,OUT017,722.0934448
FDN20,OUT049,2821.591003
DRL01,OUT046,3700.233215
FDV56,OUT049,1905.009277
DRH13,OUT027,3167.012512
FDA03,OUT017,2459.533447
FDF47,OUT027,5010.339966
FDX32,OUT046,2400.862183
FDX57,OUT049,1689.493958
NCA30,OUT045,2957.368958
FDO49,OUT013,910.2677612
FDL04,OUT019,253.9188843
DRM48,OUT035,647.720459
FDR16,OUT013,3404.057739
NCC19,OUT018,2738.89679
NCE42,OUT045,3682.262878
FDY24,OUT017,1084.588074
FDH19,OUT049,2891.26239
FDJ46,OUT013,2783.747498
FDN45,OUT010,1602.817688
FDY08,OUT035,2335.696777
FDZ37,OUT035,1535.373779
NCT30,OUT045,741.8735352
DRY23,OUT018,438.4857788
NCZ30,OUT018,1648.799683
FDC44,OUT018,1548.849426
FDB45,OUT035,1770.51947
FDY04,OUT013,2646.898071
FDM27,OUT046,2572.78894
FDZ43,OUT017,4030.961121
FDT39,OUT019,565.3309937
NCC06,OUT019,104.4458008
FDL15,OUT027,3903.143433
FDL57,OUT017,4240.347229
FDU08,OUT046,1633.290894
FDK40,OUT017,4297.94873
FDQ12,OUT010,1717.132324
FDS48,OUT017,2560.682617
FDP09,OUT045,3340.416077
FDW21,OUT049,1744.013733
FDY25,OUT035,2960.591736
DRE13,OUT017,1515.695618
FDV43,OUT019,1156.396912
FDD22,OUT045,1767.519958
FDM46,OUT019,449.4244385
NCO30,OUT010,995.5612183
FDM25,OUT046,2812.565857
NCN41,OUT049,2057.93927
FDU24,OUT045,1524.907471
FDZ50,OUT046,2907.338013
FDP45,OUT013,4042.530518
NCM54,OUT045,1971.700073
FDW10,OUT019,872.4017944
FDP20,OUT017,2221.377686
FDK32,OUT046,2483.024597
FDN52,OUT049,1520.855347
FDM58,OUT045,1800.863586
FDZ46,OUT027,3221.186035
NCA18,OUT018,1569.354553
FDD35,OUT046,1987.290283
NCK31,OUT035,863.8865356
FDI40,OUT027,3073.128235
FDT50,OUT019,349.0462646
NCT06,OUT046,2589.637268
FDT31,OUT035,3070.184021
FDT45,OUT049,969.9563599
FDT13,OUT045,2994.258911
FDO50,OUT045,1482.478821
NCU18,OUT010,295.6888428
NCR54,OUT049,3147.685181
NCO18,OUT018,2527.038452
FDU09,OUT045,953.5916138
FDT13,OUT018,2735.991882
FDE09,OUT046,1845.940247
NCK53,OUT019,271.3798218
FDG45,OUT049,3506.324707
DRH15,OUT035,795.730896
FDO21,OUT019,1696.420471
FDD14,OUT027,4379.718079
FDC09,OUT046,1735.340027
FDH45,OUT027,2242.451294
FDV32,OUT046,1096.678406
FDG12,OUT035,2018.668213
FDS32,OUT013,2347.782043
NCL55,OUT018,3671.359619
DRE01,OUT035,3851.970703
DRE15,OUT049,1359.451904
NCL42,OUT045,3856.269592
FDP31,OUT013,1130.319336
FDN33,OUT018,1257.578064
FDZ59,OUT046,2660.868164
FDE45,OUT010,953.6566162
FDJ07,OUT013,1946.65979
FDQ45,OUT018,2697.348633
FDM33,OUT027,4905.320129
FDO15,OUT010,622.6607666
FDM46,OUT013,1499.892395
FDR03,OUT045,3301.126465
FDY49,OUT018,2449.142822
FDQ60,OUT045,1929.272461
FDW10,OUT049,2880.927002
FDO51,OUT049,898.4153442
FDJ40,OUT018,1490.729126
FDS20,OUT018,2651.681702
FDU45,OUT013,1875.540588
FDV02,OUT035,2693.075623
FDN09,OUT046,3826.703308
NCM55,OUT027,4392.519531
FDN23,OUT018,2080.333252
FDY31,OUT010,438.9342041
FDW03,OUT010,142.6894531
FDD14,OUT046,2913.642639
FDV23,OUT017,2154.447266
DRI03,OUT045,2789.909485
FDN13,OUT035,1635.914551
FDF45,OUT027,2520.226257
FDU46,OUT035,1512.163147
FDB57,OUT049,3695.322876
FDV12,OUT049,1743.395081
FDQ58,OUT013,2445.169617
NCA18,OUT017,1970.48822
FDH52,OUT049,1122.593811
FDM24,OUT018,2159.499695
NCP43,OUT027,4314.374817
NCO18,OUT019,880.2277222
FDM32,OUT017,1654.527832
NCL07,OUT017,775.1673584
FDK03,OUT013,4021.839783
FDP59,OUT017,1836.929138
FDQ24,OUT049,4055.365845
FDQ16,OUT018,1460.202271
FDU44,OUT013,2663.197083
FDH28,OUT010,1265.075623
FDV28,OUT019,1313.652771
FDM22,OUT045,917.9968262
FDR56,OUT046,3173.208801
FDV39,OUT049,3233.943726
FDU37,OUT019,539.6382446
FDQ11,OUT010,2191.999329
FDX02,OUT045,3475.401794
NCS42,OUT018,1184.898438
FDY57,OUT027,2999.816528
FDB21,OUT049,3935.335083
FDE28,OUT017,3780.580078
FDQ55,OUT017,2045.64386
FDA48,OUT049,3610.598206
FDZ19,OUT045,2786.22876
NCC43,OUT045,3934.445251
NCV18,OUT046,1289.182556
NCA42,OUT018,2230.015747
FDY45,OUT046,4045.892761
NCC30,OUT045,2797.974731
FDM57,OUT013,1447.011414
FDL09,OUT010,739.7302856
FDB09,OUT027,3481.563354
FDT44,OUT035,1976.11853
NCT06,OUT027,4033.203064
FDX26,OUT049,2951.175354
FDK32,OUT013,2545.014648
DRA12,OUT046,2262.278015
FDO46,OUT010,1115.645325
FDE52,OUT013,1437.252319
NCH42,OUT045,3601.1875
FDV08,OUT035,800.6121216
FDB47,OUT018,3050.826904
FDC28,OUT010,162.5877686
FDD22,OUT046,1811.99469
FDS07,OUT027,3323.422119
DRI13,OUT045,3405.150452
FDG32,OUT018,3253.941895
FDU14,OUT017,4051.317017
FDD28,OUT019,953.7371826
NCP41,OUT017,1904.102356
FDS08,OUT049,2914.945801
FDX47,OUT045,2554.660461
FDC53,OUT019,287.668335
FDQ19,OUT035,3947.519836
FDL14,OUT045,2534.2453
FDM33,OUT019,1580.052002
FDA51,OUT045,1778.940735
FDZ27,OUT018,498.7290649
FDT04,OUT046,660.5488892
DRC13,OUT049,2121.475403
FDR16,OUT027,4856.687256
FDQ03,OUT027,5225.718445
FDE38,OUT035,2753.573608
DRH23,OUT027,2371.343323
FDT11,OUT019,1139.696228
FDD09,OUT035,2943.732178
FDR40,OUT045,1334.448608
FDX07,OUT017,3134.569336
FDR07,OUT035,1639.076233
FDA51,OUT017,1949.747131
FDT59,OUT019,1765.564819
FDF20,OUT017,3274.25354
FDR13,OUT045,1910.157104
FDY26,OUT049,3423.085205
FDW04,OUT017,2238.85437
FDK52,OUT017,3700.23053
FDN60,OUT049,2593.712891
FDM09,OUT019,838.7145996
FDP46,OUT049,1508.375061
FDB50,OUT019,620.5013428
NCQ29,OUT049,4167.147034
FDP16,OUT027,5307.123779
FDX33,OUT018,2310.814209
FDP07,OUT010,1216.074768
FDN22,OUT046,3981.674133
FDF39,OUT049,4218.560303
FDS21,OUT017,1181.870605
NCM42,OUT013,1730.967102
FDK50,OUT019,741.1799927
DRF13,OUT027,3776.715149
FDH35,OUT018,2354.877991
FDP60,OUT018,1328.485535
DRJ49,OUT027,3518.761169
NCT42,OUT019,441.8758545
FDE38,OUT049,2799.773071
FDI04,OUT049,3259.882507
NCH54,OUT045,2463.271606
FDT56,OUT049,1129.439148
DRD15,OUT018,3398.34845
FDV58,OUT013,3091.172241
FDP21,OUT049,3110.450623
FDH05,OUT013,3721.923889
FDR10,OUT027,4024.586121
NCP06,OUT045,2335.311096
FDF33,OUT049,2009.36615
DRK37,OUT013,2998.016296
DRH49,OUT045,1324.74054
FDT58,OUT013,2683.435852
FDD41,OUT018,1416.316345
FDP40,OUT018,1523.005859
FDM51,OUT027,3140.736328
FDO45,OUT010,476.3227539
FDW33,OUT010,224.8833008
FDY24,OUT045,930.385498
FDB10,OUT010,1828.089539
FDM40,OUT035,2266.062012
NCI06,OUT017,2983.155518
FDW12,OUT019,442.7046509
FDX48,OUT027,3966.310059
NCW05,OUT027,3145.726013
FDX27,OUT017,1656.907532
DRM37,OUT045,3097.377991
FDA38,OUT045,3768.346252
FDR36,OUT046,712.4716187
FDZ45,OUT046,3142.325195
FDG05,OUT017,2677.267883
FDK28,OUT013,4091.634827
FDV47,OUT045,1385.133728
FDN21,OUT045,2528.072998
FDP20,OUT027,3521.491638
FDI35,OUT045,2903.22052
DRY23,OUT013,768.9975586
FDA56,OUT017,2154.515015
FDB09,OUT013,2036.211426
NCO26,OUT027,3293.573364
FDQ49,OUT018,2266.615601
FDI52,OUT027,3376.819397
FDZ44,OUT027,3371.558533
FDZ09,OUT018,2318.027283
FDY03,OUT049,1952.813171
NCG42,OUT017,2187.051025
DRI13,OUT027,4886.641541
FDQ32,OUT013,2117.378296
FDW16,OUT035,1539.821533
FDU27,OUT046,805.0591431
FDR28,OUT010,701.614624
FDQ49,OUT010,653.5356445
FDS37,OUT046,1902.441711
FDW26,OUT018,3195.853638
FDX12,OUT018,3582.773743
NCP06,OUT013,2399.680176
FDW45,OUT010,396.1721191
NCN30,OUT049,1597.055542
FDN24,OUT049,968.8647461
NCL41,OUT027,2011.915344
FDR02,OUT019,174.9057007
FDD09,OUT010,1000.390686
FDS33,OUT010,472.477417
FDU22,OUT045,1890.173523
FDI53,OUT013,2619.463867
DRH01,OUT049,2855.292114
FDX32,OUT013,2377.170776
NCP30,OUT018,363.9049683
FDB60,OUT045,3105.222168
FDB14,OUT049,1664.516113
NCP02,OUT035,979.3557129
FDJ10,OUT017,2406.351624
FDG34,OUT046,1808.579895
NCB18,OUT017,1531.229004
FDM16,OUT049,1333.062012
FDW25,OUT018,1125.706848
FDB35,OUT010,375.4390259
DRN11,OUT013,2299.093567
FDF41,OUT019,1967.906433
FDH16,OUT045,1393.398865
NCQ50,OUT018,3055.754272
DRH23,OUT018,644.1049194
DRJ37,OUT013,2429.081238
DRJ24,OUT027,4348.037292
FDY16,OUT035,2968.443176
FDQ27,OUT045,1732.760132
FDZ33,OUT045,2339.887024
FDF29,OUT045,2112.222656
FDA08,OUT049,2769.89856
FDG31,OUT046,1071.175171
FDE34,OUT019,1008.755249
NCR30,OUT027,2615.884216
FDV33,OUT035,4168.101257
DRZ24,OUT018,1627.01178
NCL54,OUT035,2766.936035
FDR12,OUT049,2895.561279
NCC54,OUT046,3805.653015
DRN59,OUT013,799.5403442
FDX50,OUT019,182.2261353
FDV31,OUT027,4306.328735
NCA29,OUT027,4168.563843
FDW60,OUT049,2964.066223
FDX08,OUT017,3079.599365
DRD49,OUT013,3723.357544
FDD33,OUT046,3679.460205
FDW35,OUT013,764.1248169
FDJ36,OUT017,1828.816528
FDV51,OUT035,2703.511902
FDW36,OUT046,1717.635376
FDH35,OUT046,2652.946899
NCS30,OUT027,3502.160156
FDN49,OUT017,825.477478
FDL08,OUT018,3645.405029
FDI09,OUT013,4036.966187
FDP19,OUT018,1801.755432
FDU21,OUT010,1320.857178
NCP41,OUT045,1719.154846
FDY10,OUT013,1832.461121
FDP12,OUT018,391.4192505
NCN26,OUT049,1932.828857
FDK44,OUT013,2820.516907
FDC28,OUT049,1830.374573
FDJ41,OUT027,5589.290283
NCT29,OUT035,2020.18396
NCH42,OUT019,1684.748474
FDU60,OUT018,2421.336853
FDS02,OUT045,3027.309509
FDC51,OUT046,1978.103149
FDU03,OUT013,2966.025269
FDX39,OUT045,3387.198303
NCY05,OUT010,1298.476929
NCL06,OUT027,5516.515625
FDD32,OUT035,1419.139038
NCN41,OUT045,1946.459412
NCX53,OUT049,2355.074524
FDU57,OUT019,510.0031128
FDQ23,OUT046,1695.034607
FDQ52,OUT045,3881.579468
FDC14,OUT045,741.1741333
FDY09,OUT035,2856.836548
FDQ28,OUT045,2495.418701
FDV25,OUT046,3534.597839
FDJ07,OUT035,1930.434082
DRB25,OUT049,1778.56897
FDK52,OUT019,1632.143921
FDY52,OUT027,2475.022583
FDB28,OUT046,3085.017639
FDT36,OUT035,657.4875488
FDV25,OUT017,3693.767395
NCN07,OUT027,3523.119446
FDC57,OUT017,3279.567444
FDQ03,OUT018,3505.028992
FDU23,OUT017,2817.778137
NCX41,OUT035,3415.13562
NCD06,OUT035,787.5219727
FDW08,OUT045,1717.334045
NCU29,OUT017,2459.876038
NCE06,OUT013,2555.371765
FDV52,OUT010,36.31402588
FDB02,OUT017,3028.158264
NCR18,OUT045,682.2149658
FDK16,OUT049,1596.653687
NCQ29,OUT010,2143.506592
FDZ01,OUT019,144.3521118
FDW27,OUT035,2578.615356
FDD17,OUT018,3467.278137
FDW39,OUT013,2890.760071
DRH59,OUT045,1176.486511
FDS52,OUT013,1659.339172
FDU40,OUT027,4526.468262
NCF54,OUT013,2756.11615
FDH46,OUT045,1684.644653
NCP14,OUT049,1722.101379
FDH50,OUT049,3104.335876
DRF15,OUT010,534.3781738
FDV27,OUT027,2916.158813
NCJ06,OUT049,1990.69812
FDN02,OUT018,3002.459412
FDQ51,OUT049,920.3852539
FDQ07,OUT017,3733.842529
FDS45,OUT049,1834.343628
NCJ06,OUT045,1896.358215
FDD36,OUT035,1940.791809
FDY25,OUT045,2921.802124
FDU52,OUT046,2446.136658
DRK47,OUT017,3738.068726
NCL30,OUT017,2162.561768
FDN22,OUT035,4041.459473
NCF30,OUT027,3421.183472
FDK03,OUT035,4086.622437
FDT45,OUT017,1046.505005
NCC54,OUT027,5221.564148
FDP08,OUT018,2878.905945
FDU44,OUT046,2672.873962
DRG39,OUT035,928.8106079
FDU32,OUT049,2093.02832
FDY27,OUT049,2885.55719
NCP54,OUT013,1972.268738
NCZ41,OUT049,2109.85498
DRL49,OUT013,2297.727295
FDI05,OUT018,972.1276855
FDY56,OUT045,3642.04657
DRC13,OUT013,2058.781189
NCV29,OUT017,2995.793335
FDR24,OUT049,1579.176819
FDZ34,OUT018,2784.574219
FDP37,OUT035,2062.61145
FDX08,OUT027,4363.678223
FDS57,OUT045,2226.532715
NCG18,OUT049,1719.22168
FDK25,OUT018,2437.822876
FDH53,OUT049,1434.790649
DRI59,OUT018,3259.325256
FDA52,OUT046,2816.220215
FDT20,OUT010,1226.893372
FDE36,OUT019,736.9916382
FDI24,OUT017,2918.969727
FDB28,OUT018,2828.985291
FDV11,OUT017,3000.150879
FDP01,OUT046,2501.507813
FDD34,OUT027,4025.887024
FDJ50,OUT027,2353.701294
FDZ44,OUT013,1972.342468
DRO59,OUT035,1288.383606
DRB48,OUT045,675.447937
FDR21,OUT018,2495.989014
NCE42,OUT010,1773.087524
FDO23,OUT046,1497.455872
NCE30,OUT018,3040.715149
FDQ22,OUT035,687.6945801
FDY01,OUT045,1886.206055
FDS08,OUT017,3003.958923
FDG28,OUT018,3641.831787
FDQ51,OUT018,580.2431641
FDB05,OUT017,4057.593445
FDO56,OUT049,2046.262207
FDE02,OUT018,1238.590454
FDN45,OUT017,3650.480469
FDS09,OUT013,880.2779541
NCA54,OUT018,2571.980286
FDP09,OUT010,1449.600159
FDC53,OUT045,1573.114014
NCM55,OUT017,3082.335022
FDL09,OUT018,2426.700745
FDA11,OUT019,385.6195068
FDA50,OUT045,1458.78241
FDC23,OUT017,3018.184143
FDE22,OUT049,2627.508301
FDD23,OUT046,3038.673828
NCA29,OUT049,2815.616577
FDK38,OUT046,2380.038391
DRC13,OUT046,1976.539978
NCP43,OUT049,2928.17749
FDX28,OUT049,1668.864258
FDF08,OUT049,1623.811768
FDZ33,OUT046,2367.22699
FDD10,OUT049,2967.647278
FDO58,OUT017,2721.197876
FDI50,OUT017,3861.93689
FDO58,OUT045,2617.286011
FDX08,OUT013,2946.551941
NCK17,OUT010,1226.080688
FDF39,OUT035,4188.729736
FDU45,OUT010,76.76629639
NCJ18,OUT018,1551.53009
DRC27,OUT019,1989.925659
DRC25,OUT035,1413.726868
FDU59,OUT035,2610.614136
FDU28,OUT035,3068.870544
NCP30,OUT046,660.3912354
FDB39,OUT018,593.3013306
FDE41,OUT013,1450.419067
DRH11,OUT010,986.3734741
FDA58,OUT045,3704.135437
FDU50,OUT046,1845.386841
FDM34,OUT013,2093.26709
FDM44,OUT027,3132.036804
FDR39,OUT045,2899.798706
FDM25,OUT045,2828.871216
FDQ49,OUT049,2639.488037
DRH25,OUT018,575.4567261
FDM09,OUT027,4196.40271
FDL44,OUT019,714.5166016
NCR42,OUT018,253.1929932
DRL59,OUT046,884.8343506
FDX43,OUT013,2740.316467
DRK47,OUT010,1670.332703
FDU48,OUT018,1829.954712
FDY12,OUT045,851.6112671
NCN43,OUT018,1680.102783
NCM55,OUT018,2623.558533
FDQ21,OUT027,3412.812683
FDX13,OUT035,4048.926086
NCK30,OUT027,5416.284668
FDG20,OUT049,2942.207397
DRG27,OUT017,811.4569092
FDY14,OUT018,3846.265564
FDP59,OUT035,1751.577209
FDU60,OUT017,2869.605713
NCC18,OUT019,755.3855591
DRJ39,OUT017,3596.385498
FDS07,OUT049,1942.651245
FDM08,OUT027,5046.314148
FDP51,OUT045,1956.360535
FDU16,OUT035,1395.098877
FDH12,OUT013,1744.089539
DRE48,OUT010,1181.690002
